#{"t_start": 1778855587.519965, "env_id": "None"}
r,l,t
627.53231,50,3.280751
796.422094,50,3.292585
926.94039,50,3.510092
530.442747,50,3.55158
681.319057,50,3.604322
835.693353,50,3.650118
686.473912,50,3.710955
605.157148,50,3.753245
589.645782,50,3.830609
541.204956,50,3.88772
478.349317,50,3.949512
809.512962,50,3.992577
483.580691,50,4.05391
708.525881,50,4.095427
592.187638,50,4.151807
624.557385,50,4.205554
613.436565,50,4.318089
686.346832,50,4.390447
437.827934,50,4.448124
582.604494,50,4.513115
534.972973,50,4.597447
501.654797,50,4.6556
607.252558,50,4.721022
637.937681,50,4.789953
714.353999,50,4.85358
543.961298,50,4.907919
514.108005,50,4.965896
431.126398,50,5.022655
529.163605,50,5.090362
346.075218,50,5.151889
632.783057,50,5.19737
893.344435,50,5.252589
616.701705,50,5.316685
715.746797,50,5.371682
650.720107,50,5.421029
445.57721,50,5.47531
456.994813,50,5.528549
637.585793,50,5.57973
720.126865,50,5.637004
352.607527,50,5.686203
712.704519,50,5.795679
743.740128,50,5.851431
653.160241,50,5.898723
580.199329,50,5.942705
770.873987,50,6.552945
738.740255,50,6.610256
675.147784,50,6.688635
438.94211,50,6.755377
352.58449,50,6.809684
578.124318,50,6.860321
458.725342,50,6.915251
677.494473,50,6.966253
458.416092,50,7.020631
457.117988,50,7.078802
532.399823,50,7.138015
410.515313,50,7.197764
581.428429,50,7.273439
813.271429,50,7.346489
553.694821,50,7.416291
546.131576,50,7.478475
727.542502,50,7.572695
681.759325,50,7.662149
425.392342,50,7.726802
639.390314,50,7.788249
762.364217,50,7.876356
870.603898,50,7.930893
579.966015,50,7.986673
598.325718,50,8.053766
434.745024,50,8.125196
540.940795,50,8.174129
494.693837,50,8.240315
513.168183,50,8.422713
511.467611,50,8.48963
630.795784,50,8.538844
654.607164,50,8.602927
589.679753,50,8.650438
750.631081,50,8.716776
747.557861,50,8.779558
677.479932,50,8.835228
676.464248,50,8.88913
616.716391,50,8.952342
605.915864,50,9.002659
451.688539,50,9.048079
610.140038,50,9.101086
527.506964,50,9.172778
534.271858,50,9.236894
558.758574,50,9.325749
901.269916,50,9.40061
751.526738,50,9.471516
601.205693,50,9.532588
516.428579,50,9.580342
563.896452,50,9.628922
388.452501,50,9.689082
395.871416,50,9.747217
486.975421,50,9.807403
982.477424,50,9.858003
623.519963,50,9.926289
671.529287,50,9.978432
657.196844,50,10.041811
726.004565,50,10.090954
728.850153,50,10.150295
548.171062,50,10.192849
658.794245,50,10.237618
831.56462,50,10.297457
682.982775,50,10.374141
880.126229,50,10.42973
772.251626,50,10.497356
479.98044,50,10.542752
631.157944,50,10.596287
596.770153,50,10.648859
600.138178,50,10.704618
538.747757,50,10.765441
752.655337,50,10.829734
842.992482,50,10.880223
584.372718,50,10.942513
514.896583,50,11.014041
764.059651,50,11.091731
566.251136,50,11.136327
676.959261,50,11.181156
792.54491,50,11.228542
583.465147,50,11.291577
641.342041,50,11.360556
623.343325,50,11.422768
708.509334,50,11.482615
784.498164,50,11.541838
524.522601,50,11.59174
546.01598,50,11.66217
732.932399,50,11.728701
465.411675,50,11.805473
792.646609,50,11.857252
741.977779,50,11.914422
632.670656,50,11.957993
603.556826,50,12.03397
552.76555,50,12.080632
564.564712,50,12.154151
795.275896,50,12.223019
465.034257,50,12.320852
776.102556,50,12.373958
455.071103,50,12.43038
562.063303,50,12.491397
696.863744,50,12.55319
772.989034,50,12.605677
477.986867,50,12.669755
580.43837,50,12.737866
423.975463,50,12.817753
487.059322,50,12.883851
441.561916,50,12.960256
460.591497,50,13.033379
436.721913,50,13.09386
669.345852,50,13.149374
542.444467,50,13.205605
959.711265,50,13.259635
315.036087,50,13.327035
820.337662,50,13.401896
897.829382,50,13.477651
665.029729,50,13.545321
643.857251,50,13.630618
561.737308,50,13.697865
636.93458,50,13.772152
526.70213,50,13.850148
529.731955,50,13.93194
537.048752,50,14.001092
420.004563,50,14.051276
424.058778,50,14.10373
814.912525,50,14.16079
489.935157,50,14.208027
752.668296,50,14.270706
569.540032,50,14.324
759.170411,50,14.395512
588.295508,50,14.445632
640.364976,50,14.509945
505.064774,50,14.570221
654.430157,50,14.638381
929.238349,50,14.69233
565.470908,50,14.76796
778.602075,50,14.834202
423.462366,50,14.914327
760.100219,50,14.982321
731.099813,50,15.049962
763.752664,50,15.116598
477.942665,50,15.191341
728.764029,50,15.260454
788.901491,50,15.346413
467.401669,50,15.417379
725.804798,50,15.485295
657.081158,50,15.527122
450.046808,50,15.593192
471.255801,50,15.648711
801.551002,50,15.713391
523.497093,50,15.775926
672.745615,50,15.821495
789.120358,50,15.867985
613.026416,50,15.923237
788.462642,50,15.966946
450.139894,50,16.020875
600.272139,50,16.084459
682.001897,50,16.209835
619.267086,50,16.287435
444.71094,50,16.362908
408.84926,50,16.431086
441.241754,50,16.510537
743.557352,50,16.580917
618.18109,50,16.649006
622.601875,50,16.698882
835.607566,50,16.761491
772.144326,50,16.803584
652.580488,50,16.847493
711.814908,50,16.907997
558.881218,50,16.966196
508.49586,50,17.016008
634.659257,50,17.074478
352.491954,50,17.124392
696.171972,50,17.178554
698.290444,50,17.235287
717.858953,50,17.309477
389.85119,50,17.378904
587.461764,50,17.457574
971.11255,50,17.506492
734.800341,50,17.565671
650.00804,50,17.629145
759.002507,50,17.696688
907.879791,50,17.766773
356.82276,50,17.835524
739.851672,50,17.891875
607.844077,50,17.96644
518.358319,50,18.01583
553.709246,50,18.086332
516.106834,50,18.15561
751.647051,50,18.247826
611.644901,50,18.315283
754.974969,50,18.386906
613.161007,50,18.455281
434.308543,50,18.527766
484.611852,50,18.581156
636.753412,50,18.652145
619.079765,50,18.717252
561.927706,50,18.782712
473.181366,50,18.847165
520.433163,50,18.919054
613.272243,50,18.972477
485.058674,50,19.04928
642.273944,50,19.118356
849.78233,50,19.178509
890.340639,50,19.228815
500.561452,50,19.312572
853.487182,50,19.387297
551.099001,50,19.452905
698.591851,50,19.514334
545.636774,50,19.590919
550.908693,50,19.660042
588.843961,50,19.727915
852.933439,50,19.800411
745.969584,50,19.883148
515.117079,50,19.939862
652.529462,50,19.992981
663.374818,50,20.049195
468.452868,50,20.126988
670.976611,50,20.185569
732.103217,50,20.240867
571.579933,50,20.306587
566.591525,50,20.399414
395.317077,50,20.455227
659.228884,50,20.513417
511.434061,50,20.565294
393.752697,50,20.642515
401.653251,50,20.71001
631.304378,50,20.76585
791.050138,50,20.82868
480.415483,50,20.896232
812.446617,50,20.953181
592.170178,50,21.029018
648.902288,50,21.099415
407.078459,50,21.176169
898.326266,50,21.235391
667.561077,50,21.305669
449.441675,50,21.371055
565.532089,50,21.445698
555.700583,50,21.519772
