#{"t_start": 1778749374.1935945, "env_id": "None"}
r,l,t
482.736314,50,2.750193
488.106079,50,2.783927
624.083184,50,2.818603
437.333044,50,2.852245
768.654753,50,2.886592
824.62292,50,2.920212
392.289751,50,2.952654
421.498029,50,2.989035
764.401326,50,3.022139
543.991332,50,3.05671
537.205978,50,3.090272
594.188198,50,3.13343
534.857493,50,3.167912
447.096488,50,3.201481
541.748209,50,3.235601
585.811509,50,3.269907
522.618503,50,3.30468
760.497508,50,3.339646
411.829659,50,3.373519
700.070664,50,3.406846
509.472315,50,3.440909
538.14862,50,3.474553
542.499443,50,3.507826
715.587534,50,3.545343
518.700909,50,3.579161
518.083506,50,3.614359
498.771911,50,3.647474
542.04123,50,3.681169
859.431273,50,3.714278
574.286241,50,3.747511
586.882203,50,3.780074
610.668425,50,3.813534
550.749364,50,3.846808
825.336264,50,3.880166
668.881534,50,3.914347
746.032413,50,3.947452
637.299904,50,3.980329
611.983406,50,4.013738
380.469716,50,4.046941
524.698873,50,4.08098
735.697218,50,5.967597
465.00777,50,6.02628
404.838404,50,6.080698
502.918174,50,6.133142
331.952603,50,6.177798
682.738185,50,6.214717
591.271621,50,6.298108
597.035337,50,6.385253
829.477176,50,6.440715
470.883722,50,6.476801
570.362672,50,6.512321
790.61585,50,6.548848
750.766111,50,6.590709
712.035233,50,6.625542
543.307632,50,6.660555
973.745494,50,6.694686
711.756264,50,6.729623
648.757239,50,6.763374
724.422242,50,6.796726
526.811261,50,6.831124
827.431177,50,6.86467
685.537995,50,6.898734
477.42294,50,6.932733
622.533424,50,6.966675
672.248599,50,7.000839
697.082097,50,7.035449
708.011752,50,7.06908
666.942251,50,7.103962
540.681811,50,7.137641
577.93056,50,7.171141
647.455671,50,7.205676
628.385125,50,7.24054
547.20965,50,7.279555
672.60639,50,7.314951
687.360306,50,7.34886
349.083752,50,7.382539
706.550445,50,7.41598
801.222242,50,7.450138
644.579808,50,7.484944
850.855988,50,7.518145
688.43583,50,7.55277
508.616029,50,9.110208
296.144161,50,9.149186
564.608114,50,9.200595
522.125586,50,9.250936
737.332932,50,9.3021
585.057845,50,9.338381
732.590397,50,9.37409
562.571983,50,9.409275
406.669467,50,9.443084
624.86004,50,9.477841
529.356998,50,9.513335
880.611071,50,9.548635
802.915616,50,9.583905
419.854164,50,9.619426
527.703943,50,9.655144
541.516364,50,9.689281
608.70255,50,9.72375
701.232531,50,9.758377
798.774964,50,9.794399
483.512912,50,9.830033
571.412622,50,9.864921
586.018631,50,9.899078
399.937226,50,9.933738
479.253821,50,9.967552
494.31542,50,10.002588
713.925975,50,10.037613
523.447114,50,10.072265
598.023634,50,10.107567
629.760044,50,10.14289
523.744599,50,10.178486
647.278256,50,10.214873
366.110624,50,10.250015
448.459689,50,10.285785
403.94355,50,10.321522
695.623828,50,10.357225
489.70677,50,10.392218
549.325598,50,10.427928
731.973485,50,10.46094
575.927522,50,10.495502
712.75815,50,10.528089
693.940544,50,10.563991
444.635669,50,12.032118
684.319631,50,12.081218
290.144652,50,12.127639
649.881265,50,12.179036
796.481796,50,12.219335
819.412274,50,12.25601
547.118181,50,12.291206
536.75742,50,12.33248
384.489477,50,12.36694
614.670032,50,12.412887
794.10559,50,12.453938
639.575141,50,12.497046
556.077508,50,12.540673
321.487173,50,12.57787
713.077213,50,12.612373
583.24709,50,12.64622
667.358038,50,12.679905
572.328724,50,12.713761
497.597132,50,12.747044
674.972561,50,12.780857
573.351976,50,12.81512
541.326671,50,12.848865
463.342664,50,12.883665
632.148716,50,12.91672
763.838701,50,12.952162
348.739343,50,12.989446
616.651986,50,13.024689
738.810334,50,13.05969
554.071074,50,13.095029
725.775723,50,13.129701
610.617325,50,13.164002
399.200709,50,13.200692
782.720731,50,13.237292
636.475284,50,13.272554
899.69526,50,13.308308
749.340562,50,13.345989
601.027734,50,13.383357
649.31821,50,13.417701
693.674232,50,13.451484
557.718015,50,13.485536
534.693434,50,13.520243
583.509264,50,15.015488
619.275967,50,15.078473
582.461172,50,15.138001
808.513379,50,15.186531
532.366306,50,15.226724
619.571636,50,15.262164
485.506334,50,15.296095
